sentence,translation
It felt so good to be home.,गृहे भूत्वा बहूत्तमम् अनुभूयते।
Everything was in good order except the boots.,पादरक्षे विहाय सर्वं यथाक्रमम् एव आसीत्।
"If you go there, you will find him.",भवात् तत्र गच्छति चेत् भवान् तं तत्र प्राप्स्यति।
A little girl said she heard about the cold breeze from around the way.,एका लघुबालिका उक्तवती यत् तया मार्गे शीतलसमीरस्य विषये श्रुतम्।
"Today, I see some ripe fruit on that tree.","अद्य, अहं तस्मिन् वृक्षे कानिचन पक्वफलानि दृष्टवान्।"
They usually spent the morning hours in the forest.,ते प्रायः प्रातःसमयं वने यापयन्ति।
Who is your best friend?,भवतः प्रियमित्रं किम्?
"She ate her fruit, took a walk, and then went back to sleep.","सा तस्याः फलं खादितवती, भ्रमणं कृतवती, तदनन्तरं च शयनाय प्रत्यागतवती।"
"He loves to read, and he also loves to hike.","तस्मै पठनं रोचते, तथैव च तस्मै भ्रमणम् अपि रोचते।"
What is the true meaning of the poem?,कवितायाः वास्तविकः अर्थः कः?
You are showing both sides of an argument.,भवान् तस्य विवादस्य पक्षद्वयं प्रदर्शितवान्।
You are describing a sequence of events.,भवान् घटनानाम् अनुक्रमं वर्णयन् अस्ति।
I do not know a way to get to the moon.,चन्द्रं गन्तुम् अहं कमपि मार्गं न जानामि।
The warm sun shined on the trees and drew out all their fragrance.,"उष्णः सूर्यः वृक्षेषु प्रकाशितः, तेषां सुगन्धं च अपाकरोत्।"
I enjoyed the stone that you brought for me.,यत् पाषाणं भवान् मम कृते आनीतवान् तस्य आनन्दम् अहं भुक्तवान्।
The girl ran into the forest.,बालिका वनं प्रति धावितवती।
He walked down the path.,सः मार्गेण अधः चलितवान्।
She laughed at the rabbit's activities.,सा शशकस्य क्रियाकलापेषु हसितवती।
Uncover the hole carefully.,छित्रं सावधानम् अपच्छादयतु।
I love the ocean because fish are so interesting to watch.,मत्स्यानां दर्शनं प्रीतिकरम् इति मह्यं समुद्रः रोचते।
I drink juice every morning.,अहं प्रतिदिनं रसं पिबामि।
There's one piece left like yesterday.,ह्यः इव एकः भागः अवशिष्टः।
"We waited for the train, but the train was late.",अस्माभिः रेलयानस्य प्रतीक्षा कृता परन्तु रेलयानं विलम्बितम् आसीत्।
The weather was wonderful with its bright sunshine.,तीव्रसूर्यप्रकाशेन वातावरणं अद्भुतम् आसीत्।
Many trees lost their leaves last winter.,अनेकेषां वृक्षाणां पर्णानि गते शीतकाले पतितानि।
The blue sky was cloudless.,नीलं गगनं निरभ्रम् आसीत्।
We walked through to the other side.,वयं अन्यपक्षेण चलितवन्तः।
Does it snow when it is sunny?,किं आतपे अपि हिमपातः भवति?
Winter is over and spring has come.,शैत्यं समाप्तं वसन्तः च आगतः।
The sky is full of stars.,गगनं तारिकापूर्णम् अस्ति।
Where do you want to go on a hike this weekend?,अस्मिन् सप्ताहान्ते भवान् कुत्र भ्रमणाय गन्तुम् इच्छति?
The moon goes around the earth.,चन्द्रः पृथ्वीं परितः भ्रमति।
It was raining yesterday.,ह्यः वर्षते स्म।
The clouds are getting darker.,मेघाः अधिकाधिकं कृष्णायमानाः सन्ति।
I saw a child standing near the waterfall.,अहंं एकं बालकं प्रपातं निकषा उत्थितं दृष्टवान्।
That one near the lake is chipping the rock.,तडागं निकषा स्थितः सः पाषाणं कर्तयन् अस्ति।
She buried her feet in the sand to keep them warm.,यथावत् उष्णता भवतु इत्यतः सा तस्याः चरणौ वालुकामध्ये न्यक्षेपितवती।
We have lovely trees around here.,अस्मान् परितः रमणीयाः वृक्षाः आसन्।
"There was no tree for shade in the forest, they all let the light through.","वने छायार्थः एकोऽपि वृक्षः न आसीत्, अतः तैः प्रकाशः गमयितः।"
The land is covered with green grass.,भूमिः हरितेन तृणेन आच्छादिता वर्तते।
Do these bugs fly?,किम् एते कीटकाः उत्पतन्ति?
He dropped the leaf into the fire.,सः पर्णम् अग्नौ पातितवान्।
The birds drink from the still pool of water.,खगाः स्थिरजलाशयात् जलं पिबन्ति।
They jump into the river.,ते नद्यां कूर्दन्ते।
Birds are making their houses in the tree.,खगाः तेषां नीडानि वृक्षे कुर्वन्ति।
Be careful of that broken branch.,त्रुटितशाखायाः सावधानं भवतु।
My friend works in the field.,मम मित्रं क्षेत्रे कार्यं करोति।
We are riding into the forest today.,वयं अद्य वने यानविहारं कुर्मः।
She ran harder up the hill.,सा तीव्रगत्या लघुशैलोपरि धावितवती।
"This area has an abundant rainfall, dense forests, and fertile soil.","अस्मिन् क्षेत्रे प्रचूरा जलवर्षा, निबिडानि वनानि तथा च सस्यप्रदा भूमिः सन्ति।"
The first tree was near the lake.,प्रथमः वृक्षः सरोवरं निकषा आसीत्।
There is beautiful land lying on both sides of the wonderful river.,अद्भुतनदीम् उभयतः सुन्दरं क्षेत्रम् अस्ति।
What is the highest mountain?,उच्चतमः पर्वतः कः?
The countryside is made with beautiful hills.,ग्रामीणक्षेत्रं सुन्दरशैलैः निर्मितम् अस्ति।
They will go up to the snowy region.,ते उपरि हिमवति क्षेत्रे गमिष्यन्ति।
The rock was heavy and sharp.,पाषाणः भारवान् कठोरः च आसीत्।
You threw the rock over the river?,भवान् पाषाणं नद्याः उपरितः क्षिप्तवान्।
"Even in the dense underbrush, it had found another rock.",घनेषु गुल्मेषु अपि तेन अन्यः पाषाणः प्राप्तः।
The summer is the best time to prune raspberry bushes.,रासबेरीगुल्मानां कर्तनाय ग्रीष्मः उत्तमः कालः।
"You are staying the whole evening, I hope?",अहम् आशासे यत् भवान् आसायङ्कालं तिष्ठति।
"I study about the earth, and the animals.",पृथ्वीविषये पशूनां विषये च अध्ययनं करोतु।
"It isn't cold out there, is it?","बहिः शैत्यं नास्ति, न वा?"
"She ran and ran and ran, until the night came to a close.",यावत् रात्रेः समापनं निकटं न आगतं तावत् सा पौनः पुण्येन धवितवती।
"When she woke again, the sun was shining on her face.","सा यदा पुनः उत्थितवती, तदा तस्याः मुखे सूर्यः प्रकाशते स्म।"
Will you give me a cup of tea?,किं भवान् मह्यं चायचषकं दास्यति?
Will you try it and see if it makes a difference if wouldn't mind?,यदि भवतः असुविधा नास्ति तर्हि किं भवान् अस्य प्रयोगं कृत्वा द्रक्षति यत् एतत् किमपि अन्तरं करोति वा न वा इति?
Would you like to go on an outdoor adventure?,किं भवान् बहिः अभियानार्थं गन्तुम् इच्छति?
He watched as the wolf disappeared into the tall grass.,सः दृष्टवान् यत् शृगालः उन्नततृणेषु गुप्तः अभवत्।
"I know you must be tired, so I will let you rest.","अहं जानामि यत् भवान् श्रान्तः, अतः अहं भवते विश्रान्तिम् अनुमन्ये।"
The dry weather was perfect for building.,शुष्कं वातावरणं निर्माणाय योग्यं वर्तते।
Those few pieces of fat pine were a great treasure.,पृथुलस्य देवदारुवृक्षस्य नैके खण्डाः नाम एकः महान् निधिः आसीत्।
The table and chairs were made of a dark rich wood.,"उत्पीठिका, आसन्दाः च घनवर्णीयेन उच्चतमेन काष्ठेन निर्मिताः सन्ति।"
She breathed in the ocean air.,सा समुद्रीये वायुमण्डले श्वासं गृहीतवती।
We bought a lily and set it in a sunny window.,"वयम् एकां लिलीं क्रीतवन्तः, तां च प्रकाशिते वातायने स्थापितवन्तः।"
"We can't keep falling forever, you know.",भवान् जानाति यत् वयं सर्वदा पतन्तः न तिष्ठामः।
After two years' growth the bushes should be quite tall.,द्विवार्षिकेन वर्धनेन गुल्माः उन्नताः भवेयुः।
She glanced around the lush hills.,सा हरितशैलान् परितः दृष्टवती।
All of the islands have beautiful beaches and lush scenery.,सर्वेषु द्वीपेषु सुन्दरतटाः हरितदृश्यानि च सन्ति।
"The place is absolutely crammed with plants, a lush green oasis.","एतत् स्थानं हरितवृक्षैः परिपूर्णं वर्तते, यथा परिपूर्णं हरितं मरूद्यानम्।"
It is a very vibrant and proud community.,एषः अतीव उत्साही अभिमानी च समाजः अस्ति।
The dawn brought cool air and dense fog.,"प्रातःकालः शीतलं समीरं, घनां हिमझटिम् आनीतवान्।"
"The air was dry and hot, as if she were in a sauna.",यथा सा सौनायां भवेत् इत्येतावत् वातावरणं शुष्कम् उष्णं च आसीत्।
Cherry blossoms are in bloom for a short period.,चेरीपुष्पाणि अल्पसमयाय एव विकसन्ति।
Scorpions are numerous in the arid regions.,वृश्चिकाः शुष्कप्रदेशेषु प्रभूतसंख्यकाः भवन्ति।
"The day was sunny and mild, a perfect day for riding.","दिवसः प्रकाशितः, शान्तः आसीत् अतः सः यानविहाराय उत्तमः दिवसः जातः।"
,ऐश्वर्यवती नदी तस्याः मार्गं उपत्यकातः निर्माति।
The blossom is fragrant.,पुष्पं सुगन्धितं वर्तते।
The apple trees are looking beautiful.,सेववृक्षाः अतीव सैन्दर्यशालिनः दृश्यन्ते।
The birds are chirping in the trees.,खगाः वृक्षेषु कूजन्ते।
The cool breeze is chilling my spine.,शीतलः समीरः मम मेरुदण्डं शीतलीकरोति।
The tides are rushing towards the land.,तरङ्गाः भूमिं प्रति धावन्ति।
A calm river is flowing from the mountains.,शान्ता नदी पर्वतेभ्यः वहति।
The pond has many flowers.,तडागे अनेकानि पुष्पाणि सन्ति।
Birds are flying around fearlessly.,खगाः निर्भयं उत्पतन्ति।
The frogs are trilling in the pond.,मण्डूकाः नटाके टरटरायन्ते।
The tree has long branches.,वृक्षस्य दीर्घाः शाखाः सन्ति।
"Fresh fruit, please.","प्रत्यग्रं फलं, कृपया।"
The sky is so amazingly beautiful today.,अद्य गगनम् अतीव अद्भुतं सुन्दरं च अस्ति।
Deer are grazing in the fields.,मृगाः क्षेत्रेषु चरन्ति।
The wolf is chasing the deer.,वृकः मृगम् अनुधावति।
This river contains many species of fish.,नद्यां मत्स्यानाम् अनेकाः जातयः सन्ति।
A pack of wolves is howling in the forest.,वनेे वृकाणां गणः आरावध्वनिं करोति।
The clouds caused a sudden blizzard.,मेघाः सहसा हिमझञ्झावातम् अनीतवन्तः।
Let us fly a kite in the bright sunshine.,उज्ज्वलप्रकाशे वाताटम् उत्पातयाम।
The bugs are making weird noises.,कीटकाः विचित्रं ध्वनिं कुर्वन्ति।
The mighty river is flowing along the slopes of the mountains.,महती नदी पर्वतानां वप्रेभ्यः वहति।
We are approaching a valley.,वयम् उपत्यकां प्रति प्राप्नुवन्तः स्मः।
The great wind hit the valley.,महान् झञ्झावातः उपत्यकां प्राहरत्।
Look at the colorful butterflies!,विविधवर्णान् चित्रपतङ्गान् पश्यतु!
The birds are cool looking.,खगानां दर्शनं रमणीयम्।
The rabbits are hopping joyously.,शशकाः आनन्देन कूर्दन्ते।
The talkative bird is curious.,मुखरः खगः जिज्ञासुः अस्ति।
The coyote is witty.,कोयोटः चतुरः अस्ति।
The mice are squeaking happily.,मूषकाः आनन्देन चक्चकायन्ते।
Snow is dripping from the leaves.,हिमः पर्णेभ्यः पतति।
Birds are drinking water from the unusually still river.,खगाः असामान्यरूपेण स्थिरनद्याः जलं पिबन्ति।
Rabbits hop merrily.,शशकाः आनन्देन कूर्दन्ते।
This particular rabbit was pretty quick at finding some food.,एषः विशेषः शशकः अन्नं प्राप्तुम् अतीव तीव्रगामी आसीत्।
The bird builds its nest quickly from twigs.,खगः तस्य नीडं तृणैः झटिति निर्माति।
The fluffy bear fishes in the stream.,लोमशः भल्लूकः जलधारायां मत्स्यान् गृह्णाति।
The bear snores peacefully.,भल्लूकः शान्त्या घर्घरायते।
The unstable rock rolls down the mountains.,अस्थिरः पाषाणः पर्वतेभ्यः अधः लुठति।
The flowers blossom blissfully.,पुष्पाणि चैतन्येन विकसन्ति।
The lush green forest has a lot of animals in it.,घने हरिते वने अनेके पशवः सन्ति।
Do you want to talk while we're playing?,यावत् वयं खेलामः तावत् भवान् वक्तुम् इच्छति वा?
Fruit is currently being harvested as we eat.,यथा वयं खादामः तथा फलानि सद्यः सङ्गृह्यन्ते।
Fresh berries are scattered across the land.,प्रत्यग्राः बदरिकाः भूमौ विकीर्णाः सन्ति।
The moths flock to the light like crazy.,पतङ्गाः निर्विवेकं प्रकाशं प्रति धावन्ति।
Wavy branches make fill the day with joy.,प्लवमानाः शाखाः दिवसम् आनन्देन परिपूर्णं कुर्वन्ति।
The ducks quack happily.,कादम्बः आनन्देन आरवं करोति
The birds are at rest.,खगाः विश्रामं कुर्वन्तः सन्ति।
Reptiles lay under the canopy of the forest.,सरीसृपाः वनस्य आश्रये तिष्ठन्ति।
Butterflies sit on the shrubs.,चित्रपतङ्गाः गुल्मेषु उपविशन्ति।
The rabbit is lying on his back playfully.,शशकः क्रीडया पृष्ठे उपशयानः अस्ति।
I hope the birds would sing while we play in the grass.,अहम् आशासेे यत् यावत् वयं तृणेषु खेलामः तावत् खगाः गायेयुः।
"No, I don't see why that should be.","न, तत् किमर्थं भवेत् इति अहं न पश्यामि।"
"First we wait, then we move.","प्रथमं वयं तिष्ठाम, तदनन्तरं वयं चलाम।"
"I've never tried that, should be interesting!","अहं पूर्वं कदापि तस्य प्रयत्नं न कृतवान्, कदाचित् रुचिरं स्यात्।"
"If we could, we should, why wouldn't we?","यदि वयं शक्ताः, तर्हि अस्माभिः करणीयम्। किमर्थं न?"
She speaks as if everyone was asleep.,सा एवं वदति यत् सर्वे सुप्ताः स्युः।
"No wonder the birds sing, they sound great!","एतत् अनाश्चर्यं यत् खगाः गायन्ति, ते अतीव कर्णमधुरं गायन्ति।"
What is your favorite thing to do?,किं कर्तुं भवते रोचते?
"The moon shines too, just not as much.","चन्द्रः अपि प्रकाशते, परन्तु न तावत्।"
If only we could jump and reach the skies.,"वयं कदाचित् उदपताम, आकाशं च प्राप्नुम।"
Let's get there by running.,तत्र धावित्वा गच्छाम।
We are going to explore the forest tomorrow.,वयं वनस्य संशोधनं कर्तुं श्वः गमिष्यामः।
We are from the beach.,वयं समुद्रतटतः स्मः।
"Here, let me get that for you.","अत्र, अहं तत् भवत्कृते स्वीकरवाणि।"
I want to be tall when I grow up.,"अहं यदा वर्धिष्ये, तदा अहम् उन्नतः भवितुम् इच्छमि।"
A gentle breeze is clearing away all the leaves.,एकः मन्दः समीरः सर्वाणि पर्णानि स्वच्छीकरोति।
"Take these rocks, they are yours.","एतान् पाषाणान् स्वीकरोतु, एते भवतः सन्ति।"
Remind your brother to take you out when he wakes up.,यदा भवतः सहोदरः उत्तिष्ठति तदा भवन्तं बहिः नेतुं तं स्मारयतु।
It is time to relax and enjoy.,एषः समयः विश्रान्तये आनन्दाय अस्ति।
The snow is very welcoming.,हिमः स्वागतार्हः अस्ति।
I need a light sleep in the afternoon.,मध्याह्ने मह्यं किञ्चित् शयनम् आवश्यकम्।
We are planning a trip to the forest.,वयं वनभ्रमणाय योजनां कुर्मः।
The fruit we are having today is from the forest.,वयम् अद्य यत् फलं खादामः तत् वनीयं वर्तते।
They are coming over to play.,ते खेलितुम् आगच्छन्ति।
Think of any number from one to ten.,एकतः दशपर्यन्तं कामपि संख्यां चिन्तयतु।
It's time to go home.,एषः गृहं गन्तुं समयः।
Imagine the purple leaves.,धूमलपर्णानां कल्पनां करोतु।
Get some ice cubes for the juice.,रसार्थान् कांश्चन हिमप्रखण्डान् स्वीकरोतु।
"Get me two stones: one brown, the other white.","मत्कृृते पाषाणद्वयं ददातु - एकः पिङ्गलः, अन्यः च शुभ्रः।"
I will be swimming with the fish.,अहं मत्स्येन सह तरन् भविष्यामि।
Watch closely!,ध्यानेन पश्यतु।
Let's go find some fruit.,चलतु कानिचन फलानि प्राप्नुम।
Can we climb that tree?,किं वयं वृक्षस्य आरोहनं कर्तुं शक्नुमः?
Yesterday was fun because we found that big rock.,ह्यः आनन्दः जातः यतः अस्माभिः बृहदाकारः पाषाणः प्राप्तः।
Let us finish this before the sun sets.,"यावत् सूर्यः अस्तङ्गच्छति, तावत् एतत् पूर्णं कुर्म।"
I love having fruit in the afternoon.,मध्याह्ने फलभक्षणं मह्यं रोचते।
When can you come out to play?,भवान् खेलितुं बहिः कदा आगन्तुं शक्नोति?
I am always at home at weekends.,अहं सप्ताहान्ते सर्वदा गृहे एव भवामि।
You can be the best at anything you can imagine.,भवान् किमपि चिन्तयतु तत्र भवान् उत्तमः भवितुं शक्नोति।
It gets dark when the lights turn off.,यदा दीपाः शान्ताः भवन्ति तदा अन्धःकारः भवति।
Our dad gives us fruit every day.,अस्माकं पिता प्रतिदिनम् अस्मान् फलं ददाति।
Animals sleep all the time.,पशवः सर्वदा शयनं कुर्वन्ति।
We all love playing games.,अस्मभ्यं क्रीडाः रोचन्ते।
We crossed the river with our bare feet.,वयम् अनावृत्तैः चरणैः एव नदीपारं गतवन्तः।
Place the fruit peel into the pile.,फलत्वचां राश्यां स्थापयतु।
My feet got wet from the rain.,मम चरणौ वृष्टिकारणात् जलक्लिन्नौ जातौ।
I found two branches had fallen from the tree.,अहं वृक्षपतितं शाखाद्वयं दृष्टवान्।
The wolf howled all night.,वृकः रात्रौ आरावं करोति।
Let's give them another chance.,तान् पुनः एकम् अवसरं यच्छाम।
Keep sight of where you are going.,भवान् कुत्र गच्छति इत्यत्र अवधानं भवतु।
"I don't take sugar in my tea, thanks.","अहं मम चायमध्ये शर्करां न स्वीकरोमि, धन्यवादः।"
Feel free to visit me anytime.,मां कदापि निःसंकोचं मिलतु।
Her voice sounded so happy.,तस्याः ध्वनिः अतीव आनन्दितः आसीत्।
We are going to clean everything up.,वयं सर्वं स्वच्छीकुर्तुं गच्छामः।
Let's meet at our tree house when the sun rises.,यदा सूर्यः उदेति तदा अस्माकं वृक्षगृहं मिलाम।
Can you make tea for us?,किं भवान् अस्माकं कृते चायं निर्मातुं शक्नोति?
I must follow my dream where ever it takes me.,यत्रकुत्रापि मम स्वप्नं मां नयतु मया तत् अनुकरणीयम्।
We thanked our teacher for all her hard work.,कठिनपरिश्रमार्थं वयम् अस्माकं शिक्षिकायै धन्यवादं कृतवन्तः।
Let's get started right away.,झटिति आरम्भं कुर्म।
Let everyone have what they want.,सर्वे यत् इच्छन्ति तत् प्राप्नुवन्तु।
The leaves are scattered all over the forest floor.,वनस्य भूमितले सर्वत्र पर्णानि विकीर्णानि सन्ति।
The fruits are all small and green.,सर्वाणि फलानि लघूनि हरितानि च सन्ति।
Would you please pour me a glass of the juice you made.,किं भवान् स्वनिर्मितस्य रसस्य एकं चषकं मह्यं ददति?
The rabbits are enjoying their meal.,शशकाः तेषाम् अन्नस्य भोगं कुर्वन्तः सन्ति।
Keep the windows slightly open.,वातयनानि किञ्चित् उद्घाटितानि भवन्तु।
Who let the animals out?,केन पशवः बहिर्गमिताः।
Try to remember what happened.,किं जातम् इति स्मर्तुं प्रयत्नं करोतु।
I came here for you.,अहम् अत्र भवत्कृते आगतवान्।
We both took a piece of fruit.,आवां फलखण्डं स्वीकृतवन्तौ।
We all sat watching the sun rise.,वयम् उदयन्तं सूर्यं पश्यन्तः उपविष्टवन्तः।
She is a very polite young girl.,सा अतीव विनम्रा युवती बालिका अस्ति।
Bring everything to me.,मत्कृते सर्वम् आनयतु।
The birds chirped as they were fed.,यदा भोजिताः तदा सर्वे खगाः कूजितवन्तः।
I have a variety of different collections.,मम समीपं विभिन्नानि सङ्ग्रहणानि सन्ति।
Take care of your siblings.,भवतः भ्रातॄणां रक्षणं करोतु।
We counted twelve branches in total.,वयं द्वादशशाखाः गणितवन्तः।
Winter is coming.,शैत्यम् आगच्छति।
They love the snow so much.,तेभ्यः हिमः अतीव रोचते।
I brought some rocks with me.,अहं मया सह कांश्चन पाषाणान् आनीतवान्।
Every life is sacred.,प्रत्येकं जीवनं पवित्रम्।
I can't run that fast.,अहं तावत् तीव्रं न धावितुं शक्नोमि।
The sun is shining quite brightly today.,अद्य सूर्यः किञ्चित् अधिकं प्रकाशमाणः अस्ति।
These berries are very fresh.,एताः बदरिकाः अतीव प्रत्यग्राः सन्ति।
The sky is clear today.,अद्य आकाशः स्वच्छः अस्ति।
There are many species of plants in the forest.,वने वनस्पतीनां नैकाः प्रजातयः सन्ति।
You can see dew on leaves early in the morning.,भवान् प्रातः पर्णेषु दवबिन्दून् द्रष्टुं शक्नोति।
The land is filled with flowers.,भूमिः पुष्पैः पूर्णा।
"Look, there is a deer in the woods.","पश्यतु, तत्र वृक्षेषु एकः मृगः अस्ति।"
What kind of bird is this?,एषः कीदृशः खगः?
"The mountain is very steep, so be careful while climbing it.","पर्वतः अतीव उन्नतः अस्ति, अतः सावधानम् आरोहनं करोतु।"
Let's drink fresh water from the lake.,सरोवरात् प्रत्यग्रं जलं पिबाम।
The pond is filled with fish of all kinds.,तडागः सर्वप्रकारकैः मत्स्यैः पूरितः अस्ति।
Flowers are in full bloom at this time of the year.,वर्षस्य अस्मिन् समये पुष्पाणि पूर्णतः विकसितानि सन्ति।
The weather gets beautiful in spring.,वसन्ते वातावरणं सुन्दरं भवति।
"Full moon occurs roughly once a month, except on a blue moon.",ब्लू-मूनं विहाय प्रायः मासे एकवारम् एव पूर्णिमा भवति।
The sky is filled with stars tonight.,अद्य रात्रौ आकाशः तारिकाभिः पूर्णः अस्ति।
I think I love all of the flowers around here.,परितः यानि पुष्पाणि सन्ति तानि मह्यं रोचन्ते इति अहं मन्ये।
I like to eat.,मह्यं भोजनं प्रियम्।
It's a beautiful view from the top of this mountain.,अस्मात् पर्वतशिखरात् एतत् अतीव सुन्दरं दृश्यम्।
"You should sing more often, you have such a beautiful voice.",भवतः ध्वनिः सुन्दरः अस्ति अतः भवता बहुवारं गातव्यम्।
We should dance together to this song.,अस्मिन् गीते वयं सहैव नृत्येम।
The flower was usually found in the back of the forest.,एतत् पुष्पं प्रायः वनस्य पार्श्वे प्राप्यते स्म।
The wind blew the leaves lying on the ground.,वायुः भूमौ पतितानि पर्णानि उत्पातितवान्।
What are you bringing to eat on this adventure?,भवान् अस्मिन् साहसाभियाने भोजनार्थं किं नयति?
The bird drank water from the lake.,खगः तडागात् जलं पीतवान्।
Is it possible to swim with fishes in the sea?,किं समुद्रे मत्स्यैः सह तरणं शक्यम्?
Stars sparkle at night.,तारिकाः रात्रौ प्रकाशन्ते।
She has deep blue eyes.,तस्याः नेत्रे गभीरनीलवर्णे स्तः।
Heavy mist covered the magical place from being seen.,अतीव धूलिद्वारा दिव्यं स्थानं दर्शनात् आच्छादितम्।
It will rain today.,अद्य वर्षा भविष्यति।
Wild animals live out here.,अत्र वन्यपशवः निवसन्ति।
Summer days are long and hot.,निदाघदिवसाः दीर्षाः उष्णाः च भवन्ति।
The bee uses its beautiful wings to fly.,मक्षिका उत्पतितुं तस्याः सुन्दरपक्षयोः उपयोगं करोति।
Light from the star twinkles at night.,रात्रौ तारिकाप्रकाशः संस्फुरति।
The sky is covered with heavy clouds today.,अद्य आकाशः घनमेघैः आच्छादितः।
The bear living in the forest likes to eat everything.,वने निवसते भल्लूकाय किमपि खादितुं रोचते।
The rock is extremely heavy.,पाषाणः अतीव भारी अस्ति।
Waves can be seen from the beach.,समुद्रतटात् तरङ्गाः द्रष्टुं शक्यन्ते।
Do you like reading the tree rings?,किं वृक्षवृत्तानां पठनं भवते रोचते?
The duck swims in the pond.,कादम्बः तडागे तरति।
He plays the flute very well.,सः वेणुं अतीव उत्तमतया वादयति।
She lives in a big beautiful house.,सा महति सुन्दरे गृहे निवसति।
Red berries are the ripe ones.,रक्तबदरिकाः पक्वाः सन्ति।
The green grass covered the lawn.,हरितेन तृणेन शाद्वलम् आच्छादितम्।
The sky is clear and blue in summer.,आकाशः ग्रीष्मे स्वच्छः नीलः च अस्ति।
These berries are freshly picked from the tree.,बदरिकाः प्रत्यग्रं वृक्षात् गृहीताः सन्ति।
The forest floor hides many little animals.,वनस्य तले नैके लघुपशवः प्रच्छन्नाः भवन्ति।
Birds have the ability to fly.,केवलं खगाः एव उत्पतितुं शक्नुवन्ति।
This mountain will lead you to view number two.,अनेन पर्वतमार्गेन गत्वा भवान् द्वितीयक्रमाङ्कं द्रक्ष्यति।
Wolves have a strong sense of smell.,वृकाणां घ्राणेन्द्रियम् अतीव बलवत् वर्तते।
All the trees are covered in snow in winter.,शैत्यकाले सर्वे वृक्षा हिमेन आच्छादिताः भवन्ति।
How many members are there in your family?,भवतः परिवारे कति सदस्याः सन्ति?
Children like to build stuff when they are on the beach.,"यदा बालाः समुद्रतटे भवन्ति, तदा तेभ्यः वस्तूनां निर्माणं रोचते।"
He stayed in the cool and dark cave to avoid getting wet in the rain.,पर्जन्यसमये जलक्लिन्नः न भवेयम् इति सः शीतलायाम् अन्धःकारमय्यांं च गुहायां स्थितवान्।
"Let's play hide and seek, it will be fun.","गोपनक्रीडां कुर्म, एषा आनन्ददायिनी भविष्यति।"
What are you making tonight?,अद्या रात्रौ भवान् किं निर्माति?
I love my family.,अहं मम परिवारे स्निह्यामि।
The food from the forest was delicious.,वन्यभोजनम् अतीव रुचिकरम् आसीत्।
How often does a bird flap its wings?,खगः कतिवारं तस्य पक्षौ फडफडायते?
It is very important to stay warm in winter.,शैत्यकाले उष्णता अतीव आवश्यकी।
My best friend gave me a piece of fresh fruit.,मम प्रियमित्रं एकस्य प्रत्यग्रफलस्य खण्डम् अयच्छत्।
Flowers blossom on the tree every spring.,पुष्पाणि सर्वेषु वृक्षेषु वसन्तसमये विकसन्ति।
I often dream about magical creatures at night.,अहं प्रायः दिव्यजीवनां स्वप्नं पश्यामि।
The land was filled with short bushes.,भूमिः लघुगुल्मैः पूरिता आसीत्।
Sweet juice is a very refreshing treat on a hot day.,मधुरः रसः निदाघदिवसे ऊर्जाप्रदः उपायः अस्ति।
The gold glimmered in the dark.,सुवर्णम् अन्धःकारे प्रकाशितम्।
Water bubbles when it boils.,अत्युष्णं जलं बुद्बुदायते।
People of this town are very nice and helpful.,अत्रत्याः नागरिकाः अतीव उत्तमस्वभावाः सहाय्यकाः च सन्ति।
Animals have a very special place in my heart.,पशूनां कृते मम हृदये विशिष्टं स्थानम् अस्ति।
Fully ripened berries are sweet and delicious.,पूर्णतः पक्वानि बदरीफलानि मधुराणि रुचिकराणि च भवन्ति।
The bird has a nest on the branch of this tree.,चटकायाः नीडम् अस्य वृक्षस्य शाखायाम् अस्ति।
This short path will get you to the hill in no time.,एषः लघुमार्गः भवन्तं शैलं प्रति सत्वरं नेष्यति।
Are you free this afternoon?,किं भवान् अद्य मध्याह्ने मुक्तः अस्ति?
Insects often live in humid climates.,कीटकाः प्रायः आर्द्रवातावरणे जीवन्ति।
You should come the tall tree and meet me sometimes.,भवान् उन्नतवृक्षं प्रति आगत्य मां कदाचित् मिलेत्।
This is a very special plant.,एषा बहुविशिष्टा वनस्पतिः अस्ति।
The flowers dance in the shiny weather.,प्रकाशिते वातावरणे पुष्पाणि नृत्यन्ति।
Sky in is a seemingly never-ending vastness.,स्काय-इन इति वस्तुतः अनन्ता विशालता वर्तते।
The ever so bright sun is glimmering in the open blue sea.,सूर्यः स्वच्छन्दे नीले समुद्रे एतावान् प्रकाशमानः वर्तते।
The sun is starting to set.,सूर्यः अस्तं गम्यमानः अस्ति।
As the day is at its brink and the night is about to break.,रात्रिः गम्यमाना अस्ति दिवसः च आगच्छन् अस्ति।
The leaves of the tree.,वृक्षस्य पर्णानि।
The bright sunshine warms the rabbit as it begins to sleep.,यदा शशकः शयितुम् आरभते तदा तीव्रः सूर्यप्रकाशः तम् उष्णीकरोति।
The river clashes with the rocks fiercefully.,नदी पाषाणैः सह सावेगं संघर्षति।
The cool breeze makes the bird dance in the wind.,शीतलः समीरः खगान् वायुना सह नर्तयति।
The raindrops look like silver gems scattering across the land.,वर्षाबिन्दवः सम्पूर्णे क्षेत्रे रजतरत्नैः इव विकीर्णाः प्रकाशन्ते।
The wolf wags his tail as he gets patted.,थपथपितः वृकः पुच्छं धुनोति।
The land is filled with cool looking flowers.,भूमिः शान्तिकारकैः पुष्पैः पूर्णा अस्ति।
