sentence,hanzi,pinyin
"Sitting, that is the main thing to consider.",坐着，这是要考虑的主要问题。,zuò zhe ， zhè shì yào kǎo lǜ de zhǔ yào wèn tí 。
"The sight, sound, and scent of the ocean helped her relax.",海洋的景象、声音和气味帮助她放松下来。,hǎi yáng de jǐng xiàng 、 shēng yīn hé qì wèi bāng zhù tā fàng sōng xià lái 。
There are clouds over the hills.,山上有云。,shān shàng yǒu yún 。
The sky is over my head.,天空在我的头顶上。,tiān kōng zài wǒ de tóu dǐng shàng 。
My house is across the bank.,我的房子在银行对面。,wǒ de fáng zǐ zài yín háng duì miàn 。
"You should expect any weather from scorching hot to cold, wet and windy.",你应该预料到从炎热到寒冷、潮湿和多风的任何天气。,nǐ yìng gāi yù liào dào cóng yán rè dào hán lěng 、 cháo shī hé duō fēng de rèn hé tiān qì 。
I have a pool behind my house.,我的房子后面有一个游泳池。,wǒ de fáng zǐ hòu miàn yǒu yī gè you yǒng chí 。
I have done this task for your benefit.,我做这项工作是为了你的利益。,wǒ zuò zhè xiàng gōng zuò shì wéi le nǐ de lì yì 。
We cannot live without water.,没有水我们就不能生存。,méi yǒu shuǐ wǒ mén jiù bù néng shēng cún 。
It's my pleasure to help you.,帮助你是我的荣幸。,bāng zhù nǐ shì wǒ de róng xìng 。
Playing is his only job.,玩耍是他唯一的工作。,wán shuǎ shì tā wéi yī de gōng zuò 。
We need to walk as far as we can tonight.,今晚我们得走得越远越好。,jīn wǎn wǒ mén dé zǒu dé yuè yuǎn yuè hǎo 。
She throws rocks just about every day.,她几乎每天都扔石头。,tā jǐ hū měi tiān dōu rēng shí tóu 。
If you have the money use it wisely.,如果你有钱，明智地使用它。,rú guǒ nǐ yǒu qián ， míng zhì de shǐ yòng tā 。
Someone is at the door.,有人在门口。,yǒu rén zài mén kǒu 。
Let's look at how this happened.,让我们看看这是怎么发生的。,ràng wǒ mén kàn kàn zhè shì zěn me fā shēng de 。
You better listen up.,你最好听好了。,nǐ zuì hǎo tīng hǎo le 。
We are sure of success.,我们一定会成功。,wǒ mén yī dìng huì chéng gōng 。
He is quite punctual in following routines.,他在以后的日常活动中都很准时。,tā zài yǐ hòu de rì cháng huó dòng zhōng dōu hěn zhǔn shí 。
I got your flowers but I forgot what they were for.,我收到了你的花，但我忘了它们是干什么用的。,wǒ shōu dào le nǐ de huā ， dàn wǒ wàng le tā mén shì gàn shén me yòng de 。
He has been loving that one tree's fruit.,他一直很爱那棵树的果实。,tā yī zhí hěn ài nà kē shù de guǒ shí 。
This activity should not be attempted in windy conditions.,这种活动不应该在多风的条件下进行。,zhè zhǒng huó dòng bù yìng gāi zài duō fēng de tiáo jiàn xià jìn háng 。
The research I found on the topic was limited.,我在这方面的研究是有限的。,wǒ zài zhè fāng miàn de yán jiū shì yǒu xiàn de 。
Where does all the rain water go?,雨水都到哪里去了?,yǔ shuǐ dōu dào nǎ lǐ qù le ?
"Nature was at her peak, blending the wild blooms with various shades of green.",大自然正处于它的巅峰，将野花与各种深浅的绿色融为一体。,dà zì rán zhèng chù yú tā de diān fēng ， jiāng yě huā yǔ gè zhǒng shēn qiǎn de lǜ sè róng wéi yī tǐ 。
"Water was dripping from the trees, and the grass was wet.",水从树上滴下来，草是湿的。,shuǐ cóng shù shàng dī xià lái ， cǎo shì shī de 。
I hear that her mother is in another city.,我听说她母亲在另一个城市。,wǒ tīng shuō tā mǔ qīn zài lìng yī gè chéng shì 。
"If he is available, ask him to call me.",如果他有空，让他给我打电话。,rú guǒ tā yǒu kōng ， ràng tā gěi wǒ dǎ diàn huà 。
"It is not a bad situation, don't worry.",情况还不错，别担心。,qíng kuàng hái bù cuò ， bié dān xīn 。
My teacher is very kind.,我的老师很和蔼。,wǒ de lǎo shī hěn hé ǎi 。
I went shopping in order to buy a new jeans.,我去购物是为了买一条新牛仔裤。,wǒ qù gòu wù shì wéi le mǎi yī tiáo xīn niú zǎi kù 。
She would take the animals out before he got home tonight.,她要在他今晚回家之前把动物都带出去。,tā yào zài tā jīn wǎn huí jiā zhī qián bǎ dòng wù dōu dài chū qù 。
My dad never works on the weekends.,我爸爸周末从来不工作。,wǒ bà bà zhōu mò cóng lái bù gōng zuò 。
She writes an e-mail to her best friend.,她给她最好的朋友写了一封电子邮件。,tā gěi tā zuì hǎo de péng yǒu xiě le yī fēng diàn zǐ yóu jiàn 。
The sun rises at the east.,太阳从东方升起。,tài yáng cóng dōng fāng shēng qǐ 。
George brushes his teeth twice a day.,乔治每天刷两次牙。,qiáo zhì měi tiān shuā liǎng cì yá 。
When does the train usually leave?,火车通常什么时候开?,huǒ chē tōng cháng shén me shí hòu kāi ?
My cat runs very fast.,我的猫跑得很快。,wǒ de māo pǎo dé hěn kuài 。
He catches the train every morning.,他每天早上都赶火车。,tā měi tiān zǎo shàng dōu gǎn huǒ chē 。
He loves to play basketball.,他喜欢打篮球。,tā xǐ huān dǎ lán qiú 。
Does he go to river too?,他也去河边吗?,tā yě qù hé biān ma ?
You'd better go in and get out of those wet clothes.,你最好进去把那些湿衣服脱下来。,nǐ zuì hǎo jìn qù bǎ nà xiē shī yī fú tuō xià lái 。
It usually rains every day here.,这里通常每天都下雨。,zhè lǐ tōng cháng měi tiān dōu xià yǔ 。
It smells very delicious in the kitchen.,厨房里闻起来很香。,chú fáng lǐ wén qǐ lái hěn xiāng 。
They haven't been able to solve the problem yet.,他们还没能解决这个问题。,tā mén hái méi néng jiě jué zhè gè wèn tí 。
It's about time you spent some money on yourself.,该是你为自己花钱的时候了。,gāi shì nǐ wéi zì jǐ huā qián de shí hòu le 。
You've always taken care of us.,你一直都在照顾我们。,nǐ yī zhí dōu zài zhào gù wǒ mén 。
There was always plenty of food.,总是有充足的食物。,zǒng shì yǒu chōng zú de shí wù 。
"Be always brave and truthful, said his father.",他的父亲说，永远要勇敢和诚实。,tā de fù qīn shuō ， yǒng yuǎn yào yǒng gǎn hé chéng shí 。
Tell them to bring me a leaf.,让他们给我带一片叶子来。,ràng tā mén gěi wǒ dài yī piàn yè zǐ lái 。
Why don't you sit down and rest and I'll bring you a piece of fruit.,你为什么不坐下来休息一下，我给你拿块水果来。,nǐ wéi shén me bù zuò xià lái xiū xī yī xià ， wǒ gěi nǐ ná kuài shuǐ guǒ lái 。
"We'll meet soon, brother.",我们很快就会见面的，兄弟。,wǒ mén hěn kuài jiù huì jiàn miàn de ， xiōng dì 。
Berries are quite delicious.,浆果很好吃。,jiāng guǒ hěn hǎo chī 。
I have to find my lost key.,我得找到我丢失的钥匙。,wǒ dé zhǎo dào wǒ diū shī de yào shi 。
He put down the book and looked at the rock beneath him.,他放下书，看着脚下的岩石。,tā fàng xià shū ， kàn zhe jiǎo xià de yán shí 。
I'm glad you like it.,我很高兴你喜欢它。,wǒ hěn gāo xìng nǐ xǐ huān tā 。
We have some fruit waiting for us inside.,我们在里面准备了一些水果。,wǒ mén zài lǐ miàn zhǔn bèi le yī xiē shuǐ guǒ 。
She promised she would reserve a room for me.,她答应要为我预订一个房间。,tā dá yìng yào wéi wǒ yù dìng yī gè fáng jiān 。
Even the tiny flower petals looked vibrant.,就连小小的花瓣也显得生机勃勃。,jiù lián xiǎo xiǎo de huā bàn yě xiǎn dé shēng jī bó bó 。
Could you come by for dinner tonight?,你今晚能过来吃晚饭吗?,nǐ jīn wǎn néng guò lái chī wǎn fàn ma ?
She shivered in the chilly ocean breeze.,她在冰冷的海风中颤抖。,tā zài bīng lěng de hǎi fēng zhōng chàn dǒu 。
I must have the land checked out.,我必须把那块地检查一下。,wǒ bì xū bǎ nà kuài dì jiǎn chá yī xià 。
They can be divided into three groups.,他们可以分为三组。,tā mén kě yǐ fēn wéi sān zǔ 。
We may have good reason to be proud of ourselves.,我们有充分的理由为自己感到自豪。,wǒ mén yǒu chōng fēn de lǐ yóu wéi zì jǐ gǎn dào zì háo 。
It is necessary that he should be sent there at once.,有必要立即把他送到那里去。,yǒu bì yào lì jí bǎ tā sòng dào nà lǐ qù 。
I won't believe it unless I see it with my own eyes.,除非我亲眼看到，否则我不会相信的。,chú fēi wǒ qīn yǎn kàn dào ， fǒu zé wǒ bù huì xiāng xìn de 。
I wish I had met my uncle yesterday.,我真希望昨天见到了我叔叔。,wǒ zhēn xī wàng zuó tiān jiàn dào le wǒ shū shū 。
I won't phone my friend until they have arrived.,在他们到达之前我不会给我的朋友打电话。,zài tā mén dào dá zhī qián wǒ bù huì gěi wǒ de péng yǒu dǎ diàn huà 。
She enjoys cooking food on her own.,她喜欢自己做饭。,tā xǐ huān zì jǐ zuò fàn 。
It felt so good to be home.,回家的感觉真好。,huí jiā de gǎn jiào zhēn hǎo 。
Everything was in good order except the boots.,除了靴子以外，一切都很好。,chú le xuē zǐ yǐ wài ， yī qiē dōu hěn hǎo 。
"If you go there, you will find him.",如果你去那里，你会找到他的。,rú guǒ nǐ qù nà lǐ ， nǐ huì zhǎo dào tā de 。
A little girl said she heard about the cold breeze from around the way.,一个小女孩说她从附近听说有冷风。,yī gè xiǎo nǚ hái shuō tā cóng fù jìn tīng shuō yǒu lěng fēng 。
"Today, I see some ripe fruit on that tree.",今天，我在那棵树上看到了一些成熟的水果。,jīn tiān ， wǒ zài nà kē shù shàng kàn dào le yī xiē chéng shú de shuǐ guǒ 。
They usually spent the morning hours in the forest.,他们的早上通常在森林里度过。,tā mén de zǎo shàng tōng cháng zài sēn lín lǐ dù guò 。
Who is your best friend?,谁是你最好的朋友?,shuí shì nǐ zuì hǎo de péng yǒu ?
"She ate her fruit, took a walk, and then went back to sleep.",她吃了水果，散了步，然后又回去睡觉了。,tā chī le shuǐ guǒ ， sàn le bù ， rán hòu yòu huí qù shuì jiào le 。
"He loves to read, and he also loves to hike.",他喜欢读书，也喜欢徒步旅行。,tā xǐ huān dú shū ， yě xǐ huān tú bù lǚ háng 。
What is the true meaning of the poem?,这首诗的真正含义是什么?,zhè shǒu shī de zhēn zhèng hán yì shì shén me ?
You are showing both sides of an argumént.,你展示了一个论点的正反两面。,nǐ zhǎn shì le yī gè lùn diǎn de zhèng fǎn liǎng miàn 。
You are describing a sequence of events.,你在描述一系列的事件。,nǐ zài miáo shù yī xì liè de shì jiàn 。
I do not know a way to get to the moon.,我不知道去月球的方法。,wǒ bù zhī dào qù yuè qiú de fāng fǎ 。
The warm sun shined on the trees and drew out all their fragrance.,温暖的阳光照在树上，树的香味都散发出来了。,wēn nuǎn de yáng guāng zhào zài shù shàng ， shù de xiāng wèi dōu sàn fā chū lái le 。
I enjoyed the stone that you brought for me.,我很喜欢你给我带来的石头。,wǒ hěn xǐ huān nǐ gěi wǒ dài lái de shí tóu 。
The girl ran into the forest.,女孩跑进了森林。,nǚ hái pǎo jìn le sēn lín 。
He walked down the path.,他沿着小路走。,tā yán zhe xiǎo lù zǒu 。
She laughed at the rabbit's activities.,她嘲笑兔子的行为。,tā cháo xiào tù zǐ de háng wéi 。
Uncover the hole carefully.,小心地揭开这个洞。,xiǎo xīn de jiē kāi zhè gè dòng 。
I love the ocean because fish are so interesting to watch.,我喜欢大海，因为看鱼很有趣。,wǒ xǐ huān dà hǎi ， yīn wéi kàn yú hěn yǒu qù 。
I drink juice every morning.,我每天早上都喝果汁。,wǒ měi tiān zǎo shàng dōu hē guǒ zhī 。
There's one piece left like yesterday.,还有一件和昨天一样。,hái yǒu yī jiàn hé zuó tiān yī yàng 。
"We waited for the train, but the train was late.",我们等火车，但火车晚点了。,wǒ mén děng huǒ chē ， dàn huǒ chē wǎn diǎn le 。
The weather was wonderful with its bright sunshine.,阳光明媚，天气很好。,yáng guāng míng mèi ， tiān qì hěn hǎo 。
Many trees lost their leaves last winter.,去年冬天许多树落叶了。,qù nián dōng tiān xǔ duō shù luò yè le 。
The blue sky was cloudless.,蔚蓝的天空万里无云。,wèi lán de tiān kōng wàn lǐ wú yún 。
We walked through to the other side.,我们走到另一边。,wǒ mén zǒu dào lìng yī biān 。
Does it snow when it is sunny?,晴天的时候下雪吗?,qíng tiān de shí hòu xià xuě ma ?
Winter is over and spring has come.,冬天过去了，春天来了。,dōng tiān guò qù le ， chūn tiān lái le 。
The sky is full of stars.,天空布满了星星。,tiān kōng bù mǎn le xīng xīng 。
Where do you want to go on a hike this weekend?,这个周末你想去哪里远足?,zhè gè zhōu mò nǐ xiǎng qù nǎ lǐ yuǎn zú ?
The moon goes around the earth.,月球绕地球运行。,yuè qiú rào dì qiú yùn háng 。
It was raining yesterday.,昨天下雨了。,zuó tiān xià yǔ le 。
The clouds are getting darker.,云越来越暗了。,yún yuè lái yuè àn le 。
I saw a child standing near the waterfall.,我看见一个孩子站在瀑布附近。,wǒ kàn jiàn yī gè hái zǐ zhàn zài pù bù fù jìn 。
That one near the lake is chipping the rock.,湖边的那只正在凿石头。,hú biān de nà zhī zhèng zài záo shí tóu 。
She buried her feet in the sand to keep them warm.,她把脚埋在沙子里取暖。,tā bǎ jiǎo mái zài shā zǐ lǐ qǔ nuǎn 。
We have lovely trees around here.,我们周围有可爱的树。,wǒ mén zhōu wéi yǒu kě ài de shù 。
"There was no tree for shade in the forest, they all let the light through.",森林里没有树可以遮荫，他们都让阳光照进来。,sēn lín lǐ méi yǒu shù kě yǐ zhē yīn ， tā mén dōu ràng yáng guāng zhào jìn lái 。
The land is covered with green grass.,地上长满了绿草。,dì shàng zhǎng mǎn le lǜ cǎo 。
Do these bugs fly?,这些虫子会飞吗?,zhè xiē chóng zǐ huì fēi ma ?
He dropped the leaf into the fire.,他把树叶扔进火里。,tā bǎ shù yè rēng jìn huǒ lǐ 。
The birds drink from the still pool of water.,鸟儿从静止的池水里饮水。,niǎo ér cóng jìng zhǐ de chí shuǐ lǐ yǐn shuǐ 。
They jump into the river.,他们跳进河里。,tā mén tiào jìn hé lǐ 。
Birds are making their houses in the tree.,鸟儿正在树上筑巢。,niǎo ér zhèng zài shù shàng zhù cháo 。
Be careful of that broken branch.,小心那根折断的树枝。,xiǎo xīn nà gēn zhé duàn de shù zhī 。
My friend works in the field.,我的朋友在地里工作。,wǒ de péng yǒu zài dì lǐ gōng zuò 。
We are riding into the forest today.,我们今天要骑进森林。,wǒ mén jīn tiān yào qí jìn sēn lín 。
She ran harder up the hill.,她拼命往山上跑。,tā pīn mìng wǎng shān shàng pǎo 。
"This area has an abundant rainfall, dense forests, and fertile soil.",这个地区雨量充沛，森林茂密，土壤肥沃。,zhè gè dì qū yǔ liàng chōng pèi ， sēn lín mào mì ， tǔ rǎng féi wò 。
The first tree was near the lake.,第一棵树在湖边。,dì yī kē shù zài hú biān 。
There is beautiful land lying on both sides of the wonderful river.,这条大河的两岸都有美丽的土地。,zhè tiáo dà hé de liǎng àn dōu yǒu měi lì de tǔ dì 。
What is the highest mountain?,哪座山最高?,nǎ zuò shān zuì gāo ?
The countryside is made with beautiful hills.,乡村由美丽的山丘组成。,xiāng cūn yóu měi lì de shān qiū zǔ chéng 。
They will go up to the snowy region.,他们要到下雪的地方去。,tā mén yào dào xià xuě de dì fāng qù 。
The rock was heavy and sharp.,这块石头又重又尖。,zhè kuài shí tóu yòu zhòng yòu jiān 。
You threw the rock over the river?,你把石头扔到河上了?,nǐ bǎ shí tóu rēng dào hé shàng le ?
"Even in the dense underbrush, it had found another rock.",即使在茂密的灌木丛中，它也找到了另一块岩石。,jí shǐ zài mào mì de guàn mù cóng zhōng ， tā yě zhǎo dào le lìng yī kuài yán shí 。
The summer is the best time to prune raspberry bushes.,夏天是修剪树莓树的最佳时机。,xià tiān shì xiū jiǎn shù méi shù de zuì jiā shí jī 。
"You are staying the whole evening, I hope?",我希望你整个晚上都待在这里吧?,wǒ xī wàng nǐ zhěng gè wǎn shàng dōu dài zài zhè lǐ ba ?
"I study about the earth, and the animals.",我研究地球和动物。,wǒ yán jiū dì qiú hé dòng wù 。
"It isn't cold out there, is it?",外面不冷，是吧?,wài miàn bù lěng ， shì ba ?
"She ran and ran and ran, until the night came to a close.",她跑啊跑啊，直到夜幕降临。,tā pǎo ā pǎo ā ， zhí dào yè mù jiàng lín 。
"When she woke again, the sun was shining on her face.",当她再次醒来时，阳光正照在她的脸上。,dāng tā zài cì xǐng lái shí ， yáng guāng zhèng zhào zài tā de liǎn shàng 。
Will you give me a cup of tea?,你能给我一杯茶吗?,nǐ néng gěi wǒ yī bēi chá ma ?
Will you try it and see if it makes a difference if wouldn't mind?,如果你不介意的话，你可以试一试，看看有没有用?,rú guǒ nǐ bù jiè yì de huà ， nǐ kě yǐ shì yī shì ， kàn kàn yǒu méi yǒu yòng ?
Would you like to go on an outdoor adventure?,你想去户外冒险吗?,nǐ xiǎng qù hù wài mào xiǎn ma ?
He watched as the wolf disappeared into the tall grass.,他看着狼消失在高高的草丛中。,tā kàn zhe láng xiao shī zài gāo gāo de cǎo cóng zhōng 。
"I know you must be tired, so I will let you rest.",我知道你一定累了，所以我会让你休息。,wǒ zhī dào nǐ yī dìng lèi le ， suǒ yǐ wǒ huì ràng nǐ xiū xī 。
The dry weather was perfect for building.,干燥的天气很适合建造。,gàn zào de tiān qì hěn shì hé jiàn zào 。
Those few pieces of fat pine were a great treasure.,那几块肥的松木是一笔巨大的财富。,nà jǐ kuài féi de sōng mù shì yī bǐ jù dà de cái fù 。
The table and chairs were made of a dark rich wood.,桌子和椅子是用一种深色的木头做成的。,zhuō zǐ hé yǐ zǐ shì yòng yī zhǒng shēn sè de mù tóu zuò chéng de 。
She breathed in the ocean air.,她呼吸着海洋的空气。,tā hū xī zhe hǎi yáng de kōng qì 。
We bought a lily and set it in a sunny window.,我们买了一株百合花，把它放在阳光充足的窗前。,wǒ mén mǎi le yī zhū bǎi hé huā ， bǎ tā fàng zài yáng guāng chōng zú de chuāng qián 。
"We can't keep falling forever, you know.",我们不能一直这样下去，你知道的。,wǒ mén bù néng yī zhí zhè yàng xià qù ， nǐ zhī dào de 。
After two years' growth the bushes should be quite tall.,经过两年的生长，这些灌木应该长得相当高了。,jīng guò liǎng nián de shēng zhǎng ， zhè xiē guàn mù yìng gāi cháng dé xiāng dāng gāo le 。
She glanced around the lush hills.,她环视了一下郁郁葱葱的山丘。,tā huán shì le yī xià yù yù cōng cōng de shān qiū 。
All of the islands have beautiful beaches and lush scenery.,所有的岛屿都有美丽的海滩和郁郁葱葱的风景。,suǒ yǒu de dǎo yǔ dōu yǒu měi lì de hǎi tān hé yù yù cōng cōng de fēng jǐng 。
"The place is absolutely crammed with plants, a lush green oasis.",这里到处都是植物，一片郁郁葱葱的绿洲。,zhè lǐ dào chù dōu shì zhí wù ， yī piàn yù yù cōng cōng de lǜ zhōu 。
It is a very vibrant and proud community.,这是一个充满活力和自豪的社区。,zhè shì yī gè chōng mǎn huó lì hé zì háo de shè qū 。
The dawn brought cool air and dense fog.,黎明带来了凉爽的空气和浓雾。,lí míng dài lái le liáng shuǎng de kōng qì hé nóng wù 。
"The air was dry and hot, as if she were in a sauna.",空气又干又热，她好像在蒸桑拿。,kōng qì yòu gàn yòu rè ， tā hǎo xiàng zài zhēng sāng ná 。
Cherry blossoms are in bloom for a short period.,樱花盛开的时间很短。,yīng huā shèng kāi de shí jiān hěn duǎn 。
Scorpions are numerous in the arid regions.,在干旱地区蝎子很多。,zài gàn hàn dì qū xiē zǐ hěn duō 。
"The day was sunny and mild, a perfect day for riding.",这天阳光明媚，天气温和，非常适合骑马。,zhè tiān yáng guāng míng mèi ， tiān qì wēn hé ， fēi cháng shì hé qí mǎ 。
The majestic river dashes its way towards the valley.,这条雄伟的河流冲向山谷。,zhè tiáo xióng wěi de hé liú chōng xiàng shān gǔ 。
The blossom is fragrant.,花很香。,huā hěn xiāng 。
The apple trees are looking beautiful.,这些苹果树看起来很漂亮。,zhè xiē píng guǒ shù kàn qǐ lái hěn piāo liàng 。
The birds are chirping in the trees.,鸟儿在树上鸣叫。,niǎo ér zài shù shàng míng jiào 。
The cool breeze is chilling my spine.,凉风使我的脊背发凉。,liáng fēng shǐ wǒ de jǐ bèi fā liáng 。
The tides are rushing towards the land.,潮水正涌向陆地。,cháo shuǐ zhèng yǒng xiàng lù dì 。
A calm river is flowing from the mountains.,一条平静的河流从山上流过。,yī tiáo píng jìng de hé liú cóng shān shàng liú guò 。
The pond has many flowers.,池塘里有许多花。,chí táng lǐ yǒu xǔ duō huā 。
Birds are flying around fearlessly.,鸟儿无所畏惧地飞来飞去。,niǎo ér wú suǒ wèi jù de fēi lái fēi qù 。
The frogs are trilling in the pond.,青蛙在池塘里鸣叫。,qīng wā zài chí táng lǐ míng jiào 。
The tree has long branches.,这棵树有长长的树枝。,zhè kē shù yǒu cháng cháng de shù zhī 。
"Fresh fruit, please.",新鲜水果，谢谢。,xīn xiān shuǐ guǒ ， xiè xiè 。
The sky is so amazingly beautiful today.,今天的天空美极了。,jīn tiān de tiān kōng měi jí le 。
Deer are grazing in the fields.,鹿在田野里吃草。,lù zài tián yě lǐ chī cǎo 。
The wolf is chasing the deer.,狼正在追赶那只鹿。,láng zhèng zài zhuī gǎn nà zhī lù 。
This river contains many species of fish.,这条河里有许多种鱼。,zhè tiáo hé lǐ yǒu xǔ duō zhǒng yú 。
A pack of wolves is howling in the forest.,一群狼在森林里嚎叫。,yī qún láng zài sēn lín lǐ háo jiào 。
The clouds caused a sudden blizzard.,云层引起了突然的暴风雪。,yún céng yǐn qǐ le tū rán de bào fēng xuě 。
Let us fly a kite in the bright sunshine.,让我们在明亮的阳光下放风筝吧。,ràng wǒ mén zài míng liàng de yáng guāng xià fàng fēng zhēng ba 。
The bugs are making weird noises.,虫子发出奇怪的声音。,chóng zǐ fā chū qí guài de shēng yīn 。
The mighty river is flowing along the slopes of the mountains.,这条大河沿着山坡流淌。,zhè tiáo dà hé yán zhe shān pō liú tǎng 。
We are approaching a valley.,我们正在接近一个山谷。,wǒ mén zhèng zài jiē jìn yī gè shān gǔ 。
The great wind hit the valley.,大风袭击了山谷。,dà fēng xí jī le shān gǔ 。
Look at the colorful butterflies!,看那些五颜六色的蝴蝶!,kàn nà xiē wǔ yán liù sè de hú dié !
The birds are cool looking.,这些鸟看起来很酷。,zhè xiē niǎo kàn qǐ lái hěn kù 。
The rabbits are hopping joyously.,兔子们高兴地跳着。,tù zǐ mén gāo xìng de tiào zhe 。
The talkative bird is curious.,这只多嘴的鸟很好奇。,zhè zhī duō zuǐ de niǎo hěn hǎo qí 。
The coyote is witty.,这只狼很机智。,zhè zhī láng hěn jī zhì 。
The mice are squeaking happily.,老鼠高兴地吱吱叫着。,lǎo shǔ gāo xìng de zhī zhī jiào zhe 。
Snow is dripping from the leaves.,雪从树叶上滴下来。,xuě cóng shù yè shàng dī xià lái 。
Birds are drinking water from the unusually still river.,鸟儿们正在从异常平静的河里喝水。,niǎo ér mén zhèng zài cóng yì cháng píng jìng de hé lǐ hē shuǐ 。
Rabbits hop merrily.,兔子跳得很欢快。,tù zǐ tiào dé hěn huān kuài 。
This particular rabbit was pretty quick at finding some food.,这只兔子很快就找到了食物。,zhè zhī tù zǐ hěn kuài jiù zhǎo dào le shí wù 。
The bird builds its nest quickly from twigs.,鸟在小树枝上很快地筑巢。,niǎo zài xiǎo shù zhī shàng hěn kuài de zhù cháo 。
The fluffy bear fishes in the stream.,毛茸茸的熊在小溪里钓鱼。,máo róng róng de xióng zài xiǎo xī lǐ diào yú 。
The bear snores peacefully.,熊安静地打鼾。,xióng ān jìng de dǎ hān 。
The unstable rock rolls down the mountains.,不稳定的岩石从山上滚下来。,bù wěn dìng de yán shí cóng shān shàng gǔn xià lái 。
The flowers blossom blissfully.,花儿开得很幸福。,huā ér kāi dé hěn xìng fú 。
The lush green forest has a lot of animals in it.,郁郁葱葱的森林里有很多动物。,yù yù cōng cōng de sēn lín lǐ yǒu hěn duō dòng wù 。
Do you want to talk while we're playing?,我们玩的时候你想聊聊吗?,wǒ mén wán de shí hòu nǐ xiǎng liáo liáo ma ?
Fruit is currently being harvested as we eat.,正在我们吃的时候，水果在被收割。,zhèng zài wǒ mén chī de shí hòu ， shuǐ guǒ zài bèi shōu gē 。
Fresh berries are scattered across the land.,新鲜的浆果散布在各地。,xīn xiān de jiāng guǒ sàn bù zài gè dì 。
The moths flock to the light like crazy.,飞蛾疯狂地涌向光。,fēi é fēng kuáng de yǒng xiàng guāng 。
Wavy branches make fill the day with joy.,波浪形的树枝使一天充满了欢乐。,bō làng xíng de shù zhī shǐ yī tiān chōng mǎn le huān lè 。
The ducks quack happily.,鸭子们高兴地嘎嘎叫。,yā zǐ mén gāo xìng de gǎ gǎ jiào 。
The birds are at rest.,鸟儿们休息了。,niǎo ér mén xiū xī le 。
Reptiles lay under the canopy of the forest.,爬行动物躺在森林的树冠下。,pá háng dòng wù tǎng zài sēn lín de shù guàn xià 。
Butterflies sit on the shrubs.,蝴蝶栖息在灌木上。,hú dié qī xī zài guàn mù shàng 。
The rabbit is lying on his back playfully.,兔子正躺在他的背上玩耍。,tù zǐ zhèng tǎng zài tā de bèi shàng wán shuǎ 。
I hope the birds would sing while we play in the grass.,我希望我们在草地上玩耍时鸟儿会唱歌。,wǒ xī wàng wǒ mén zài cǎo dì shàng wán shuǎ shí niǎo ér huì chàng gē 。
"No, I don't see why that should be.",不，我不明白为什么会这样。,bù ， wǒ bù míng bái wéi shén me huì zhè yàng 。
"First we wait, then we move.",我们先等，然后再行动。,wǒ mén xiān děng ， rán hòu zài háng dòng 。
"I've never tried that, should be interesting!",我从来没试过，应该很有趣!,wǒ cóng lái méi shì guò ， yìng gāi hěn yǒu qù !
"If we could, we should, why wouldn't we?",如果可以，我们就应该这么做，为什么不呢?,rú guǒ kě yǐ ， wǒ mén jiù yìng gāi zhè me zuò ， wéi shén me bù ne ?
She speaks as if everyone was asleep.,她说话时好像每个人都睡着了。,tā shuō huà shí hǎo xiàng měi gè rén dōu shuì zhe le 。
"No wonder the birds sing, they sound great!",难怪鸟儿唱歌，它们听起来很棒!,nán guài niǎo ér chàng gē ， tā mén tīng qǐ lái hěn bàng !
What is your favorite thing to do?,你最喜欢做什么?,nǐ zuì xǐ huān zuò shén me ?
"The moon shines too, just not as much.",月亮也照耀着，只是没有那么明亮。,yuè liàng yě zhào yào zhe ， zhǐ shì méi yǒu nà me míng liàng 。
If only we could jump and reach the skies.,要是我们能跳上天空就好了。,yào shì wǒ mén néng tiào shàng tiān kōng jiù hǎo le 。
Let's get there by running.,让我们跑着去那里。,ràng wǒ mén pǎo zhe qù nà lǐ 。
We are going to explore the forest tomorrow.,我们明天要去森林里探险。,wǒ mén míng tiān yào qù sēn lín lǐ tàn xiǎn 。
We are from the beach.,我们来自海滩。,wǒ mén lái zì hǎi tān 。
"Here, let me get that for you.",来，我帮你拿。,lái ， wǒ bāng nǐ ná 。
I want to be tall when I grow up.,我长大后想长得高。,wǒ zhǎng dà hòu xiǎng cháng dé gāo 。
A gentle breeze is clearing away all the leaves.,一阵微风吹走了所有的树叶。,yī zhèn wēi fēng chuī zǒu le suǒ yǒu de shù yè 。
"Take these rocks, they are yours.",把这些石头拿走，它们是你的。,bǎ zhè xiē shí tóu ná zǒu ， tā mén shì nǐ de 。
Remind your brother to take you out when he wakes up.,提醒你弟弟醒来时带你出去。,tí xǐng nǐ dì dì xǐng lái shí dài nǐ chū qù 。
It is time to relax and enjoy.,是时候放松和享受了。,shì shí hòu fàng sōng hé xiǎng shòu le 。
The snow is very welcoming.,雪很宜人。,xuě hěn yí rén 。
I need a light sleep in the afternoon.,我下午需要好好睡一觉。,wǒ xià wǔ xū yào hǎo hǎo shuì yī jiào 。
We are planning a trip to the forest.,我们计划去森林旅行。,wǒ mén jì huá qù sēn lín lǚ háng 。
The fruit we are having today is from the forest.,我们今天吃的水果来自森林。,wǒ mén jīn tiān chī de shuǐ guǒ lái zì sēn lín 。
They are coming over to play.,他们要过来玩。,tā mén yào guò lái wán 。
